Kategorie;Infomationstitel;Informationsspezifikationseinheit;Locilamp;
Product Overview;Brand Name;Name der Produktmarke in Buchstaben;Tchibo GmbH;
;Product Image;URL-Link zum Hauptbild des Produkts;;
;Global Product Classification Code (GPC);Code in aufeinanderfolgenden Ziffern;;
;Country of Sale;Name des Landes in Buchstaben ausgeschrieben;Deutschland;
;Product Description;Code aus Buchstaben und Zahlen, der das Produkt beschreibt, getrennt durch ein Komma, z. B. „GSB 451, 18V“;Tischleuchte;
;Product Name;Vollständiger Name des Produkts in Buchstaben;LOCI LAMP;
;Net Weight;"Gewicht des Produkts in Kilogramm, angegeben mit einem Punkt als Dezimaltrennung und den Buchstaben „kg“ (z.B. 3.5 kg"")";ca. 0,345 kg;
;GTIN;Global Trade Item Number des Produkts, angegeben als aufeinanderfolgende Ziffern;;
;Color;Name der Farbe in Buchstaben ausgeschrieben;Holz natur;
;Country of Origin;Name des Landes in Buchstaben ausgeschrieben;Deutschland;
;Dimensions;"Abmessungen in mm, in der Reihenfolge Länge, Breite, Höhe, getrennt durch ein „x“ und mit der Einheit „mm“ am Ende (""LängexBreitexHöhe mm"")";220,5 x 220,5 x 278mm;
;Model Name;Name des Modells in Buchstaben und Ziffern;LOCILAMP V 2.0;
;TARIC Code;TARIC Code („Tarif Intégré de la Communauté“) in Fom von aufeinanderfolgende Ziffern;;
;Condition of the Product;"Zustand des Produkts, beschriebenin Worten (z.B. ""Refurbished"")";Neu;
;Net Content;"Anzahl der Produktinhalte in der Verpackung, angegeben mit einer Zahl und ""Piece"" / ""Pieces""";"1 Leuchte als Selbstmontage-Satz und enthält:
• Lamellen und Kernbasis aus KROMA KRAFT Displaykarton (PVC-frei, FSC-zertifiziert)
• Lampenschirm aus transparentem, säurefreiem Papier (FSC)
• Textilkabel H03VVH2-F 2×0,75 mm² mit Lampenfassung E27, EU-Stecker (2-PIN) und Kippschalter. 
Hinweis: Das Leuchtmittel (LED-Lampe, max. 8W, E27) ist nicht enthalten.";
;Nominal Maximum RPM;"Geschwindigkeit, mit der der Motor unter Nennspannung und Nennlastbedingungen stabil und kontinuierlich arbeiten kann, in Umdrehungen pro Minute, angegeben mit einer Zahl und der Einheit ""r/min"" ";;
;Maximum Drilling Diameter;Durchmesser in mm, angegeben mit einer Zahl und „mm“ ;;
;Number of Gears;Anzahl der Gänge, angegeben mit einer Zahl;;
;Torque;"Drehmoment, angegeben in nm mit einer Zahl und mit dem Kürzel ""nm"" am Ende";;
;Warranty Duration;"Garantiedauer angegebn mit einer Zahl in Jahren und dem Zusatz ""year"" / ""years"" ";;
;Safety Instructions;Angabe der Sicherheitshinweise in Fließtext und kurzen Sätzen. ;"• Vor jeder Montage und Pflege: Netzstecker ziehen.
• Montage nur bei vom Stromnetz getrenntem Gerät durchführen.
• Materialien sind nicht brandschutzzertifiziert: Abstand zu offenen Flammen und starken Wärmequellen halten (z. B. Gasherd, Heizlüfter).
• Kabel nicht unter brennbaren Materialien verlegen und nicht quetschen.
• Vor Feuchtigkeit schützen; nicht in Badezimmern, Außenbereichen oder auf feuchten Oberflächen einsetzen.
• Von kleinen Kindern und Haustieren fernhalten. Kleinteile und Kabel können Gefahren verursachen.
• Bei sichtbaren Schäden (Risse, Geruchsentwicklung, Funken, gequetschtes Kabel) sofort vom Netz trennen und nicht weiterverwenden.
• Reparaturen an elektrischen Komponenten nur durch qualifizierte Fachkräfte durchführen lassen.";
Repairability;Service and Repair Instructions;Verfügbarkeit von Service- und Reparaturanweisungen als Boolean-Wert, angegeben als „Yes“ oder „No“;"Ja, unter URL
";
;Availability of Spare Parts;Verfügbarkeit von Ersatzteilen als Boolean-Wert, angegeben als „Yes“ oder „No“;Ja;
Environmental Impact;Water Consumption per Unit;Wasserverbrauch pro Einheit, angegeben mit einer Zahl,  einem Punkt als Dezimaltrennung und der Einheit „L“;;
;Chemical Consumption per Unit;Chemikalienverbrauch pro Einheit, angegeben mit einer Zahl, einem Punkt als Dezimaltrennung und der Einheit „kg“;;
;CO₂e Emissions per Unit;Kohlendioxidäquivalente Emissionen pro Einheit, angegeben mit einer Zahl,  einem Punkt als Dezimaltrennung und der Einheit „kg“;1,75 kg ;
;Energy Consumption per Unit;Energieverbrauch pro Einheit, angegeben mit einer Zahl,  einem Punkt als Dezimaltrennung und der Einheit „kWh“;max. 0.008 kWh (mit LED max. 8 W);
Compliance and Standards;CE Marking;Angabe, ob das Produkt eine CE-Kennzeichnung trägt, als Boolean-Wert („Yes“ = vorhanden, „No“ = nicht vorhanden);Ja;
